comparison,cell_index,cell_key,seed,baseline_step,followup_step,baseline_learning_rate,followup_learning_rate,baseline_full_gate_pass,followup_full_gate_pass,gate_transition,baseline_check_base_accuracy,baseline_check_population_risk,baseline_check_value_flip_effect,baseline_check_donor_accuracy,baseline_check_natural_swap_mse,followup_check_base_accuracy,followup_check_population_risk,followup_check_value_flip_effect,followup_check_donor_accuracy,followup_check_natural_swap_mse,baseline_base_mse,followup_base_mse,delta_base_mse,baseline_donor_mse,followup_donor_mse,delta_donor_mse,baseline_swap_mse,followup_swap_mse,delta_swap_mse,baseline_walsh_distractor_direct,followup_walsh_distractor_direct,delta_walsh_distractor_direct,baseline_walsh_interaction,followup_walsh_interaction,delta_walsh_interaction,baseline_walsh_distractor_only_interaction,followup_walsh_distractor_only_interaction,delta_walsh_distractor_only_interaction,baseline_walsh_target_interaction,followup_walsh_target_interaction,delta_walsh_target_interaction,baseline_walsh_leakage,followup_walsh_leakage,delta_walsh_leakage,baseline_walsh_total_error,followup_walsh_total_error,delta_walsh_total_error
baseline_eval_b256_to_b2048,0,C8-d8-L2-H1-m4-ffnnone,0,800,800,0.003,0.003,True,True,pass_to_pass,True,True,True,True,True,True,True,True,True,True,0.0005461701075546443,0.0005551762296818197,9.006122127175331e-06,0.0006247655255720019,0.0005385251715779305,-8.624035399407148e-05,0.0005498217651620507,0.00042324181413277984,-0.0001265799510292709,0.00014513074711430818,0.00015782221453264356,1.2691467418335378e-05,0.00012125873763579875,0.00011626308696577325,-4.995650670025498e-06,8.79070648807101e-06,8.985117347037885e-06,1.9441085896687582e-07,0.00011246804206166416,0.00010727797052823007,-5.190071533434093e-06,0.00026638948475010693,0.0002740853014984168,7.69581674830988e-06,0.0005380392540246248,0.000565822294447571,2.7783040422946215e-05
baseline_eval_b256_to_b2048,0,C8-d8-L2-H1-m4-ffnnone,1,800,800,0.003,0.003,True,True,pass_to_pass,True,True,True,True,True,True,True,True,True,True,0.00038468564162030816,0.00040429792716167867,1.961228554137051e-05,0.0003530528920236975,0.0004116511554457247,5.859826342202723e-05,0.00026154337683692575,0.0002698912285268307,8.347851689904928e-06,0.00012010700447717682,0.00012811280612368137,8.005801646504551e-06,9.865786705631763e-05,0.00010152599134016782,2.868124283850193e-06,4.959460056852549e-06,4.882496796199121e-06,-7.696326065342873e-08,9.369840699946508e-05,9.664350363891572e-05,2.9450966394506395e-06,0.00021876487153349444,0.0002296387974638492,1.0873925930354744e-05,0.00037678491207771003,0.00040066754445433617,2.3882632376626134e-05
baseline_eval_b256_to_b2048,0,C8-d8-L2-H1-m4-ffnnone,2,800,800,0.003,0.003,True,True,pass_to_pass,True,True,True,True,True,True,True,True,True,True,0.0004845114890486002,0.0004784690390806645,-6.042449967935681e-06,0.0003960806061513722,0.0005008621956221759,0.00010478158947080374,0.00021216445020399988,0.00023810415586922318,2.59397056652233e-05,0.00017267256043851376,0.00016487817629240453,-7.794384146109223e-06,6.34190218988806e-05,5.91297575738281e-05,-4.2892643250525e-06,3.01389650303463e-06,3.0620929010183318e-06,4.81963979837019e-08,6.040512380423024e-05,5.60676671739202e-05,-4.337456630310044e-06,0.00023609158233739436,0.00022400793386623263,-1.2083648471161723e-05,0.0004700380377471447,0.00046080147149041295,-9.236566256731749e-06
baseline_eval_b256_to_b2048,0,C8-d8-L2-H1-m4-ffnnone,3,800,800,0.003,0.003,True,True,pass_to_pass,True,True,True,True,True,True,True,True,True,True,0.0003438941785134375,0.00036675544106401503,2.286126255057752e-05,0.00033314776374027133,0.00037883364711888134,4.5685883378610015e-05,0.00019774734391830862,0.00023669644724577665,3.894910332746804e-05,5.838388096890412e-05,6.353873322950676e-05,5.154852260602638e-06,7.115030894055963e-05,6.525158096337691e-05,-5.898727977182716e-06,4.994466507923789e-06,4.285034265194554e-06,-7.094322427292354e-07,6.615584425162524e-05,6.096654760767706e-05,-5.1892966439481825e-06,0.00012953418990946375,0.00012879031419288367,-7.43875716580078e-07,0.00037126761162653565,0.0003702857648022473,-9.818468242883682e-07
baseline_eval_b256_to_b2048,0,C8-d8-L2-H1-m4-ffnnone,4,800,800,0.003,0.003,True,True,pass_to_pass,True,True,True,True,True,True,True,True,True,True,0.0005810929578728974,0.000560075743123889,-2.1017214749008417e-05,0.0005453345365822315,0.0005273764254525304,-1.7958111129701138e-05,0.0003868325729854405,0.00046189306885935366,7.506049587391317e-05,0.00012003529991488904,0.00011823771637864411,-1.7975835362449288e-06,0.000171273248270154,0.00016826475621201098,-3.0084920581430197e-06,1.3095133908791468e-05,1.352778053842485e-05,4.3264662963338196e-07,0.0001581780961714685,0.0001547369611216709,-3.4411350497975945e-06,0.00029130854818504304,0.0002865024725906551,-4.8060755943879485e-06,0.0005494480719789863,0.0005355867324396968,-1.3861339539289474e-05
baseline_eval_b256_to_b2048,0,C8-d8-L2-H1-m4-ffnnone,5,800,800,0.003,0.003,True,True,pass_to_pass,True,True,True,True,True,True,True,True,True,True,0.00039083632873371243,0.00030431419145315886,-8.652213728055358e-05,0.0003165348316542804,0.0003180140338372439,1.4792021829634905e-06,0.0002502792631275952,0.00023518671514466405,-1.5092547982931137e-05,5.8987523516407236e-05,5.472664997796528e-05,-4.260873538441956e-06,5.794782191514969e-05,6.82340978528373e-05,1.0286275937687606e-05,3.3750793591025285e-06,3.5296170608489774e-06,1.5453770174644887e-07,5.4572745284531265e-05,6.470447988249362e-05,1.013173459796235e-05,0.00011693534543155693,0.00012296074783080257,6.0254023992456496e-06,0.0003134370781481266,0.0003061736933887005,-7.263384759426117e-06
baseline_eval_b256_to_b2048,0,C8-d8-L2-H1-m4-ffnnone,6,800,800,0.003,0.003,True,True,pass_to_pass,True,True,True,True,True,True,True,True,True,True,0.0010458168108016253,0.0009786478476598859,-6.716896314173937e-05,0.0008180480799637735,0.0009532449766993523,0.00013519689673557878,0.0004239609697833657,0.00045492168283089995,3.096071304753423e-05,0.00026607734616845846,0.0002506976597942412,-1.5379686374217272e-05,0.00020386718097142875,0.00020499102538451552,1.123844413086772e-06,1.616063127585221e-05,1.5995537978596985e-05,-1.6509329725522548e-07,0.00018770655151456594,0.00018899550195783377,1.2889504432678223e-06,0.0004699445271398872,0.0004556886851787567,-1.42558419611305e-05,0.0009449291392229497,0.0009450566722080112,1.275329850614071e-07
baseline_eval_b256_to_b2048,0,C8-d8-L2-H1-m4-ffnnone,7,800,800,0.003,0.003,True,True,pass_to_pass,True,True,True,True,True,True,True,True,True,True,0.00012061765301041305,0.00011898580123670399,-1.6318517737090588e-06,0.00012163459905423224,0.00012045209587085992,-1.1825031833723187e-06,4.0661328966962174e-05,4.014161095255986e-05,-5.19718014402315e-07,2.6757752493722364e-05,2.5200242816936225e-05,-1.5575096767861396e-06,3.6768360587302595e-05,4.147235449636355e-05,4.703993909060955e-06,2.8151941933174385e-06,3.430640617807512e-06,6.154464244900737e-07,3.395316889509559e-05,3.804171137744561e-05,4.088542482350022e-06,6.352611308102496e-05,6.667259731329978e-05,3.1464842322748154e-06,0.00011447283031884581,0.00011542536230990663,9.525319910608232e-07
baseline_eval_b256_to_b2048,0,C8-d8-L2-H1-m4-ffnnone,8,800,800,0.003,0.003,True,True,pass_to_pass,True,True,True,True,True,True,True,True,True,True,0.0001617979578441009,0.00016762121231295168,5.8232544688507915e-06,0.00016778986901044846,0.00017516256775707006,7.372698746621609e-06,7.649822509847581e-05,6.58914286759682e-05,-1.0606796422507614e-05,6.021058652549982e-05,5.5473996326327324e-05,-4.736590199172497e-06,6.0520240367623046e-05,5.578857962973416e-05,-4.7316607378888875e-06,3.003195615747245e-06,2.927256218754337e-06,-7.593939699290786e-08,5.751704520662315e-05,5.2861327276332304e-05,-4.655717930290848e-06,0.00012073082689312287,0.00011126257595606148,-9.468250937061384e-06,0.00018106411152984947,0.0001684750895947218,-1.2589021935127676e-05
baseline_eval_b256_to_b2048,0,C8-d8-L2-H1-m4-ffnnone,9,800,800,0.003,0.003,True,True,pass_to_pass,True,True,True,True,True,True,True,True,True,True,0.0001777839206624776,0.00022388344223145396,4.609952156897634e-05,0.00016420113388448954,0.00022074041771702468,5.653928383253515e-05,0.00010651929187588394,0.00012703018728643656,2.051089541055262e-05,7.535098120570183e-05,8.242203330155462e-05,7.071052095852792e-06,4.1775703721214086e-05,4.3391832150518894e-05,1.6161284293048084e-06,1.9482126845105086e-06,2.1648941128660226e-06,2.1668142835551407e-07,3.9827489672461525e-05,4.1226936446037143e-05,1.3994467735756189e-06,0.00011712668492691591,0.00012581386545207351,8.6871805251576e-06,0.00020827798289246857,0.00022439044550992548,1.6112462617456913e-05
